,is_primary_role,description
0,1,"Who We Are:
Founded in 2005 within Take Two Interactive, 2K develops and publishes interactive entertainment for PC, console and mobile platforms. Our world-class team of engineers, developers, graphic artists and publishing professionals are stewards of a growing library of critically-acclaimed franchises such as Battleborn, BioShock, Borderlands, The Darkness, Mafia, NBA 2K, Sid Meier’s Civilization, WWE 2K, and XCOM.
What We Need:
2K has been a major console and PC game publisher for several console generations and is known for bringing amazing IP to the market. As our games get bigger and more complex, we are growing our analytics group. We’re looking for a skilled and passionate Data Scientist to work in the Analytics team, who will be primarily focusing on NBA 2K user data on console, PC and mobile and be responsible with crunching data, translating that information into digestible reports, setting up dashboards, building predictive models, and giving actionable data and insights to our development, sales and marketing teams.
Job Responsibilities Will Include:
Work closely with development teams to provide insights to understand the impact of product decisions on game quality, as the game moves through its development phases
Analyze gameplay and economy telemetry data to understand how feature, content and balance adjustments are impacting overall player experience, before and after the product launches
Analyze game and player data to understand the player behavior and enhance the quality of the player experience
Test acquisition, engagement and monetization strategies around our live service offerings, find opportunities to drive player engagement and monetization
Use predictive modeling to establish behavior patterns that assist with player churn prediction, spend propensity and lifetime value
Establish and distribute regular performance reports and dashboards to finance, marketing and production
Performs ad hoc analyses regularly for finance, marketing, production and operations
Present findings taken from data analysis both in person and in presentation form for remote groups
Who We Think Will Be A Great Fit:
We’re looking for a senior analyst who is eager to mine data for insights, hypothesis driven and experienced with using data-driven techniques to test the hypotheses rigorously. The ideal candidate must be able to see the underlying story in the data and develop a compelling communication to executives. Being a solution oriented, creative problem solver and self-starter with passion and enthusiasm to drive the results for meaningful changes are also going to be very critical for this role.
Minimum Requirements:
B.A. or B.S. in Mathematics, Statistics, Economics, Computer Science, Data Science, Engineering Sciences (or in another quantitative discipline) – Master’s or PhD Degree is a big plus
3+ years of experience in data mining & analytics with very large, complex and multi-dimensional data sets
Experience with predictive modeling techniques and accomplished in use of one of the statistical software packages like R, SAS or Python machine learning modules
Expert in SQL (experience with Vertica and/or Redshift is a big plus) and experience with big data technologies such as Hadoop, Hive, Pig or other NoSQL DBs
Experience with data visualization tools, Tableau preferred
Programming experience in one of the languages like Python, Perl, Ruby, C, C++, Java, etc.
Excellent communication skills, with a proven track record of working across all levels of the organization – having the information is one thing, you must be able to disseminate and educate
Video games industry experience and familiarity with NBA 2K franchise are strongly preferred
"
1,1,"Note: Due to volume of applications we receive, we kindly ask that you only apply to a maximum of one Data Scientist role from among those posted. This does not preclude you from being considered for multiple roles. Thank you.
Airbnb has become a global platform that connects travelers and hosts from over 34,000 cities. As such, it has collected a diverse set of numerical, textual, visual, and unstructured data, which our Data Science team mines for insights that will propel our community and product forward.
Here Are Some Examples Of Projects We Currently Need Help With
We are looking for experienced Data Scientists to join our team and expand upon the work we have done.
* Evolve our user lifetime value models and use them to direct growth marketing campaigns toward where they will have the maximum impact
* Build statistical models to predict demand and supply of listings by geography
* Work with our customer experience team to convert unstructured text to insights about where our product falls short, and then partner with engineers to make improvements
* Work with our marketplace team to develop a new price recommendation algorithm for our host community
* Develop machine learning models with our Trust and Safety team that can identify risky behavior before impacting our community
* Improve the statistical methodology behind our experimentation platform to ensure that our understanding of product changes is rigorous and accurate
We have a strong team of Data Scientists, our work is highly sought-after, and our impact on the business is tremendous. If you have a proven background in this field and are excited to help build Airbnb’s community, we want to hear from you.
Some Examples Of Traits We Value
* Ability to write clean and concise code, especially in R or Python
* 3+ years in industry experience and a Master's degree in a quantitative field, PhD is a plus
* Solid understanding of statistics
* Keen eye for detail and thoughtful investigation of data before relying upon it
* Intuition for data science best practices, stemming from proven experience
* Steadfast focus on creating impactful change
Benefits
* Stock
* $2,000 yearly employee travel coupon
* Competitive salary
* Paid time off
* Medical, dental, & vision insurance
* Life & disability coverage
* 401K
* Flexbile Spending Accounts
* Apple equipment
* Daily breakfast, lunch, and dinner
"
2,1,"Job description
The Trips team has an ambitious goal of transforming Airbnb from an accommodations business to an end to end travel platform, through expanding and growing new product offerings including Experiences and Restaurants. We are reimagining travel by immersing travelers in unique and authentic experiences around the world. The Trips Platform team plays a crucial role in realizing this mission by building the end to end trip product from inspiration, search, and planning of a trip.

Here Are Some Examples Of Projects
We are looking for experienced Data Scientists to join our team and expand upon the work we have done.
Define metrics to accurately measure our progress toward our mission
Design experimentation strategy to ensure that our understanding of product changes is rigorous and accurate
Identify and prioritize opportunities to improve search experience

We have a strong team of Data Scientists, our work is highly sought-after, and our impact on the business is tremendous. If you have a proven background in this field and are excited to help build Airbnb’s community, we would be excited to hear from you.

The Traits We Value
3+ years in industry, preferably on product facing teams
Solid understanding of statistics and online experiment design
Strong analytical skills with experiences in defining both long term and operational metrics and generating actionable data insights to drive product direction.
Ability to write clean and concise code, especially in SQL, R or Python
Strong communication skills

Benefits
Stock
$2,000 yearly employee travel coupon
Competitive salary
Paid time off
Medical, dental, & vision insurance
Life & disability coverage
401K
Flexible Spending Accounts
Apple equipment
Daily breakfast, lunch, and dinner
"
3,1,"Alexa is the groundbreaking cloud-based intelligent agent that powers Echo and other devices designed around your voice. Our team is creating the science and technology behind Alexa. We’re working hard, having fun, and making history. Come join our team! You will have an enormous opportunity to impact the customer experience, design, architecture, and implementation of a cutting edge product used every day by people you know.
As a Data Scientist with the Alexa Conversational AI team, you will
We’re looking for a passionate and talented Data Scientist to help make data-driven improvements to our Automatic Speech Recognition (ASR), Natural Language Understanding (NLU), and Dialog models in order to provide the best-possible experience for our customers.
* Work with large amounts of real-world conversational data
* Ensure data quality throughout all stages of acquisition and processing, including data collection, ground truth generation, normalization and transformation
* Build and release models that elevate the customer experience and track impact over time
* Collaborate with colleagues from science, engineering and business backgrounds
* Present proposals and results in a clear manner backed by data and coupled with actionable conclusions
Basic Qualifications
* Master’s or PhD in a relevant field
* 3-5 years experience with various machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance
* Experience in Python, Perl, or another scripting language
* Passion for data and numbers
Preferred Qualifications
* 5-7 years experience with various machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance
* Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis
* Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations
* Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.
* Ability to think creatively and solve problems
* Strong attention to detail
* Exceptional level of organization
* Comfortable working in a fast paced, highly collaborative, dynamic work environment
Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation
Apply for this job online Apply
Share
Email this job to a friend Refer
Company
Amazon Corporate LLC
Recruiting Team
*  Job ID
513814
"
4,0,"Ancestry seeks a Product Analyst (Data Science) to work in an exciting and dynamic area, with huge opportunity for learning. If you love diving into massive datasets but also want the opportunity to shape the vision and strategic role of Product Analytics then this may be the role for you. Working closely with members of Product, Data Scientist and Engineering teams, you will define and report on key metrics, analyze customer behaviors/data, optimize our products by experimentation and content and build tools/service to improve Analytics productivity.
What You Will Do
* As a key partner on the Product Management team, you will participate annual product planning, new product design, execution, review and continuous product feature improvement
* Implement and analyze A/B or Multi-Variate Tests to measure the impact of product decisions and changes
* Collaborate with business partners to identify critical business problems/key knowledge and translate them into technical analyses and deliver actionable insights
* Create dashboards, reports, and analyses that explain what happened and why
* Identify and understand various data sources; build tools and services to improve analysis and experimentation throughput, and work with Data Warehouse team to make online and offline data cross platforms available.
?
?
Qualifications
Who you are
* 1+ years of experience in each of following
o using statistical inference on daily basis
o using/implementing data tracking for user behavior
o analyzing very large datasets with SQL (Redshift, Teradata, Oracle, or MySQL) and R, SAS or other statistical package
* Undergraduate degree a must. Masters/PhD in Statistics, Operation Research, Applied Mathematics, Economics, Computer Science, or a quantitative discipline preferred
* Technical requirements
o Being able to write Python or R programming to run analysis on big Dataset is PLUS
o Advanced proficiency in Excel (pivot tables, advanced formulas, etc)
* Strong research and analytical mindset and extremely detail-oriented
* Team player with positive and “can-do” altitude, excellent interpersonal skills, inquisitive, self-starter, energetic and striving in a fast-moving environment.
* Strong communication skills, written and verbal; ability to present data and its implications in a clear, concise manner; balanced technical and business perspectives.
* Ability to deal with change and ambiguity, resilient
Additional Information
We’re a cutting-edge tech company with a very human mission—to help every person discover, preserve, and share the story of what led to them. Combining the rich information in family trees and historical records with the genetic details revealed in DNA, we create unique experiences that give people a new understanding of their lives, because connecting all the pieces of our family story can give us the deepest sense of who we are.
For more information on what we do and why you would want to work at Ancestry, visit our careers pagewww.workforancestry.com
Ancestry is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Ancestry via-email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Ancestry. No fee will be paid in the event the candidate is hired by Ancestry as a result of the referral or through other means .
Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.
IND2
Job Location
"
5,0,"As our Data Analyst for Media you will be the visionary responsible for collecting and analyzing media data globally and presenting key findings including social sentiment and results from paid and earned media. You will identify key insights and potential factors affecting campaign flighting, messaging and comprehension. You love to aggregate complicated data and get excited about identifying key insights, using them to build actionable future recommendations.
Description
You will be joining a team of forward-thinking Media experts within Marcom who collaborate closely with extraordinary creative talent to launch Apple products, craft new customer experiences, and tackle complex marketing challenges. Using an objective and data-focused approach, we connect the Apple brand with current and future customers all over the world.
Education Details
Bachelor's Degree preferred
Key Qualifications
Recommend data-informed creative choices (messaging analysis, features, timing, targets, investment levels, R&F) to feed into briefs and overall communications planning
You will develop end-to-end reporting to define how media drives consumer behavior by gathering relevant data across all of Apple, including groups outside of Marcom (Retail, Apple Online Store, App Store, Product teams)
You will build relationships with our retail teams and keep updated on their attribution modeling to integrate those findings into your reporting and recommendations
Work closely with our media agency to analyze front-end media metrics including standard measurement as well as incremental online and cross-channel measurement tools (i.e Nielsen, Online ratings, TAR)
You will develop a dashboard that includes defined key performance indicators (KPIs)
Monitor industry statistics to help define benchmarks and measure performance
Prepare reports of findings, illustrating data graphically and translating complex findings into executive recaps
Manage and analyze WW YouTube channel data and define trends and best practices
Develop and implement procedures for integrating findings into future campaigns
Work with agency and outside groups (Apple Care, PR) to implement and analyze social media listening/sentiment tools
You will have 5-7 yrs of experience in a performance-based analytics role
You bring a strong working knowledge of analytics and social listening tools like Tableau and Radian6
Additional Requirements
Creative Advertising or Design Agency experience preferred.
Samples of creative briefs or case study samples required.
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.
"
6,1,"Independently named by FastCompany as one of the world’s most innovative companies in data science, Arimo’s Behavioral AI software is aimed at delivering predictive insights in commercial IoT applications. 

Arimo's capabilities harness the behavior of machines, devices, customers, and other entities to provide the most accurate predictions utilizing Deep Learning. With Arimo Behavioral AI™, leading companies are creating competitive advantage through new predictive insights, and delivering new services to their customers. 

Our strong team includes executives with deep product and engineering experience. They have held senior positions at Google, Yahoo, Amazon, SAP, Microsoft, and VMware. Team members hold advanced degrees in computer science and business from leading universities. Arimo is funded by Andreessen Horowitz, Lightspeed Ventures, and Bloomberg Beta. To learn more, visit us at www.arimo.com 

Arimo is growing rapidly and now offering a position for Data Scientist. Passionate about digging into massive data sets and extracting data-driven insights to address complex business problems through analysis and visualization? Join us and become a part of this exciting journey! 

Responsibilities
Extract, analyze, and apply data-mining and machine learning techniques to large structured and unstructured datasets
Design and analyze experiments to test new features & products
Develop new algorithms and models for product improvement
Work with product managers, designers, and engineers to build new features and products
Required Skills and Qualifications
2+ years of experience working with large amounts of real data
Expertise in at least one statistical software package, preferably R
Experience with visualization tools such as d3, matplotlib, ggplot
Experience with ETL & ML tools in R, Python, and Java such as scikit-learn, pandas, matplotlib, statsmodel, iPython, Weka
Proficiency in SQL
Advanced skills in a scripting language such as Python
Experience in Hadoop/Spark and/or other MapReduce paradigms is a plus
Experience in Deep Learning is a plus
Ability to translate business objectives into actionable analyses
Ability to communicate findings clearly to both technical and non-technical audiences
Top-down thinker, excellent communicator, and great problem solver. Must be an active team player
Open-minded and excited to learn new things. Have strong opinions but willing to change with new data
Ms/Ph.D. in a CS or related discipline with domain expertise in Machine Learning, Statistics, Information Retrieval, or Graph Analysis
Arimo offers competitive compensation packages commensurate with your experience. Offer includes full benefits, company stock options, continual career & compensation growth, and many other perks.
"
7,0,"The Sr. Business Intelligence and Data Analyst will work closely with Company’s Engineering division, and other functions as needed. Using your knowledge of BI technologies, you will build reports and Dashboards /KPI's. The candidate will ensure consistent use of Company metrics, advocate best practices for reporting, and promote available reporting technologies. This job requires a combination of analytical, database , organizational and interpersonal skills. 

The job also requires work with lot of confidential financial and customer data. 

7+ years of experience in business intelligence tools with at least 5 years of experience with BI tools like Sisense, Qlikview, Tableau, Business Objects, Spotfire.
Study on data visualization best practices. Designing Dashboard and KPI’s and operational Reports
Strong SQL skills, including data modeling and data warehousing skills.
Proficiency with scripting languages a plus.
Strong situation analysis and decision-making abilities, strong analytical skills. Strong focus on quality.
Sound understanding of BI Best Practices/Methodologies
Experience in SQL with a common RDBMS like SQL Server, Oracle, MySql.
Advance knowledge of Microsoft Excel, or other data management tools with prior data mining experience.
Experience with integrating/blending data sets (data import/export, data cleansing/QA).
Understand how input data translate to business performance measurement and ensure that data quality standards are met to support accurate measurement.
Research industry best practices, experiment with new technologies, and create a roadmap of business intelligence growth.
Assess and continuously improve the reporting processes, including streamlining queries and optimizing the utilization of resources.
Agile/Scrum team environment experience.
Bachelors degree in computer science
Experience with Sisense and Tableau reporting tool, RDBMS (Teradata), Big Data Technologies (Hadoop, Hive) is preferred.
Experience with Python and Javascript.
Experience performing ETL/data integration tools like Informatica.
Excellent communication skills, both written and verbal.
Ability to manage multiple projects, meet deadlines and adjust priorities
Proven ability to multi-task, prioritize, and work under deadlines.
Strong customer-focus.
Equal Employment Opportunity. It is Calix’s policy to provide equal employment opportunity for all applicants and employees. Calix employment-related decisions, including recruitment, hiring, training, compensation, benefits, and promotion are based solely on an individual’s qualifications and ability to accomplish assigned job functions and legitimate business needs. Calix does not unlawfully discriminate on the basis of race, religion, color, national origin or ancestry, sex (including pregnancy, breastfeeding and medical conditions related to pregnancy and breastfeeding), age (40 and over), sexual orientation, gender identity or expression, pregnancy, medical condition, genetic characteristic or information, marital status (including registered domestic partners), veteran status, physical or mental disability, status as a victim of domestic violence, sexual assault, or stalking, or any other legally protected criteria.
"
8,0,"As Senior Business Analyst, you will report to the Director of Data Analytics and be responsible for creating key performance reports, deep analysis, and insights. You will work with the Product and Marketing teams who will depend on you to detect trends and identify opportunities. As a result of your analysis, you will provide actionable insights to marketing/product leaders so they can make informed data driven decisions to drive the business.
Specific responsibilities:
Conduct the standard suite of product analyses to uncover insights about our product and users: cohort analysis, funnel analysis, user segmentation, etc.
Analyze marketing and customer acquisition data and provide valuable, data-centric insights, and solutions
Provide actionable results that the business can leverage to set strategic direction and make day-to-day decisions
Develop standardized dashboards and ad hoc reports to inform business decisions, with an emphasis on automation and scalability
Design and analyze A/B tests to drive KPI improvements
Apply expertise in quantitative analysis and data visualization to tell the story behind the numbers and provide recommendations to leadership
Partner with Engineering to optimize data tracking/quality and drive data warehouse improvements
Qualifications for success:
Bachelor's degree in Business, Marketing, Statistics, Mathematics or related quantitative field
4+ years of business focused analysis experience in a Data Analyst or Business Intelligence focused role
Strong SQL and Excel skills with at least a working knowledge of R, Python, or other scripting language preferred
Experience developing and maintaining reports in Tableau or other data visualization tool
Experience analyzing A/B and multivariate results for campaign and engagement performance
Experience with tracking and analytics tools such as Google Analytics, Google Tag Manager, Mixpanel, Optimizely, and Tableau strongly preferred
Comfortable with large data sets and interest in building data models for consumer behavior and business metrics
Strong analytical, organizational and interpersonal skills
Effective communication skills to present information to technical and non-technical audience
Highly motivated self-starter with the ability to work efficiently with minimal supervision
Knowledge of and curiosity to stay current on industry analytical trends
Seniority Level
Mid-Senior level
Industry
Financial Services
 
Computer Software
Employment Type
Full-time
Job Functions
Finance
 
Analyst
"
9,0,"Chase is undertaking an aggressive digital transformation agenda, which builds on the success of the current mobile and online service offerings. Chase is investing in innovative ways to deepen customer engagement and profitability through the use of digital channels. The ambition is to position Chase as the undisputed leader in digital financial services and payments and to enable Chase to deliver the highly personalized, real time experiences that customers increasingly expect.
Digital Analytics is tasked with measuring and analyzing the current customer experience when using the bank’s web and mobile products and to provide actionable recommendations to enhance the consumer experience in order to build long term, profitable customer relationships.
This Data Analyst role will be responsible for delivering against the Digital Analytics agenda and working with partners in Digital and across the Consumer Bank. Key constituents will include Digital Management, Product Management, Customer Experience Design, the various consumer lines of business, risk, compliance, and controls.
As a Data Analyst, you will work as a member of a cross-functional team to improve the online and mobile experience for our customers. You will be responsible for building relationships with Product partners and delivering actionable Business Intelligence in clear and compelling terms. You’ll have a passion for data visualization and deep analytical understanding.
Responsibilities include:
Work with partners across Digital functions and LOB’s to provide data driven insights in support Digital strategic direction and growth
Provide consultative support for Digital Product partners driven by fact-based findings
Provide analysis and associated data visualization and story-telling
Focus and prioritize the analytics agenda to align with overall strategy and business value
Collaborate within Digital Analytics to enhance the quality and value of team deliverables
Work with Data Services and Core Analytics partners to enhance overall performance of Digital Analytics team
Qualifications:
3+ years relevant experience analyzing online and mobile customer experiences
Structured thinker with passion for analyzing results and digging deeper
Hands on experience with behavioral and transactional analytics tools and techniques
Experience working with Business Intelligence (BI) platforms to deliver reports and scorecards
Experience with SAS, SQL required
Experience with Tableau and/or Adobe Data Workbench preferred
Ability to communicate effectively with executives, business partners, and technical resources in analytics and data management
An understanding of social media trends and changes in the digital products/services space
Demonstrated ability to define business KPIs and establish measurement frameworks
Ability and desire to work in a start-up paced environment and culture
Good to have Hadoop and Hive experience.
"
